date,recession_label,iip_growth_pct,cpi_yoy_pct,gdp_growth_pct,repo_rate_pct,yield_spread_bps,credit_growth_yoy_pct,unemployment_rate_pct,sentiment_score,iip_3m_rolling_avg,cpi_momentum_3m,repo_rate_change,gdp_lag1q,iip_lag1m,yield_spread_lag1,year,month,fiscal_year,finbert_composite,sent_mpc,sent_budget,sent_rbi_governor,sent_econ_survey,inr_level,inr_depreciation_3m,vix_level,vix_change,oil_price_usd,oil_change_3m,nifty_return_3m,market_stress
2012-01-01,0,-0.7,10.36,5.1,8.5,182.1,17.2,3.4,0.15,-0.7,-0.5,0.0,5.1,-0.7,182.1,2012,January,FY12,0.0,-0.0428,0.1926,-0.0551,0.0926,52.49300003051758,0.08572222757159409,22.65999984741211,4.270000457763672,122.66000366210938,0.17935234366583952,0.9405183890705437,-0.43227049532816725
2012-02-01,0,-0.7,10.36,5.1,8.5,188.5,17.2,3.4,0.15,-0.7,-0.5,0.0,5.1,-0.7,182.1,2012,February,FY12,0.0,-0.0428,0.1926,-0.0551,0.0926,49.06800079345703,0.08572222757159409,26.93000030517578,4.270000457763672,122.66000366210938,0.17935234366583952,0.9405183890705437,-0.23375738468575247
2012-03-01,0,-0.7,10.36,5.1,8.5,175.5,17.2,3.4,0.15,-0.7,-0.5,0.0,5.1,-0.7,188.5,2012,March,FY12,0.0,-0.0428,0.1926,-0.0551,0.0926,50.86800003051758,0.08572222757159409,22.3799991607666,-4.55000114440918,122.87999725341797,0.17935234366583952,0.9405183890705437,-0.5372663553839728
2012-04-01,0,-0.7,10.36,5.1,8.5,190.3,17.0,3.4,0.15,-0.7,-0.5,0.0,5.1,-0.7,175.5,2012,April,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,52.53799819946289,0.08572222757159409,17.81999969482422,-4.559999465942383,122.87999725341797,0.17935234366583952,0.9405183890705437,-0.8481038072332407
2012-05-01,0,5.0,10.36,5.1,8.0,179.8,17.0,3.4,0.15,2.15,-0.5,-0.5,5.1,-0.7,190.3,2012,May,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,56.22800064086914,14.591994235817452,25.25,7.430000305175781,101.87000274658203,-16.949290962682028,-8.559573991580294,-0.022812242042727582
2012-06-01,0,2.3,10.36,5.1,8.0,182.1,17.0,3.4,0.15,2.2,-0.5,0.0,5.1,5.0,179.8,2012,June,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,55.50299835205078,9.111815520076473,19.079999923706055,-6.170000076293945,97.80000305175781,-20.4101519875014,-0.31441310077022777,-0.5918201701762521
2012-07-01,0,1.5,9.86,5.4,8.0,178.0,16.5,3.4,0.15,2.9333333333333336,-0.5,0.0,5.1,2.3,182.1,2012,July,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,55.42300033569336,5.491267720702697,16.010000228881836,-3.0699996948242188,97.80000305175781,-20.4101519875014,-0.3648886312336064,-0.8609797885981388
2012-08-01,0,-0.1,9.86,5.4,8.0,201.4,16.5,3.4,0.15,1.2333333333333332,-0.5,0.0,5.1,1.5,178.0,2012,August,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,55.62799835205078,-1.0670880735215937,17.299999237060547,1.289999008178711,114.56999969482422,12.466866207744665,6.787835711021972,-0.7393574768264711
2012-09-01,0,-1.0,9.86,5.4,8.0,181.4,16.5,3.4,0.15,0.1333333333333333,-0.5,0.0,5.1,-0.1,201.4,2012,September,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,52.847999572753906,-4.783523157535463,16.15999984741211,-1.1399993896484375,112.38999938964844,14.918196199001432,8.039551993689509,-0.9760756825731572
2012-10-01,0,3.7,9.75,4.6,8.0,169.5,16.0,3.4,0.15,0.8666666666666667,-0.1099999999999994,0.0,5.4,-1.0,181.4,2012,October,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,53.95800018310547,-2.6433071896405536,14.399999618530273,-1.760000228881836,108.69999694824219,11.145187685439929,7.471795664802072,-1.0729021372056884
2012-11-01,0,-1.7,9.75,4.6,7.5,186.7,16.0,3.4,0.15,0.3333333333333334,-0.1099999999999994,-0.5,5.4,3.7,169.5,2012,November,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,54.8380012512207,-1.4201429572037738,15.149999618530273,0.75,111.2300033569336,-2.9152451311750482,11.816109112032901,-0.9643566968796421
2012-12-01,0,7.1,9.75,4.6,7.5,164.5,16.0,3.4,0.15,3.033333333333333,-0.1099999999999994,0.0,5.4,-1.7,186.7,2012,December,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,54.75299835205078,3.6046752851530917,14.949999809265137,-0.19999980926513672,111.11000061035156,-1.1388902804948087,3.538307644337624,-0.9858594645672188
2013-01-01,0,7.2,10.79,4.8,7.5,177.0,15.8,3.4,0.15,4.2,1.0399999999999991,0.0,4.6,7.1,164.5,2013,January,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,53.303001403808594,-1.213904846499403,14.130000114440918,-0.8199996948242188,115.55000305175781,6.301753722014625,7.38562183501712,-1.1287967726818575
2013-02-01,0,1.4,10.79,4.8,7.75,153.3,15.8,3.4,0.15,5.233333333333333,1.0399999999999991,0.25,4.6,7.2,177.0,2013,February,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,53.858001708984375,-1.7870810749407329,14.859999656677246,0.7299995422363281,111.37999725341797,0.1348502130338325,-3.1769567228118634,-1.0381409508321262
2013-03-01,0,15.2,10.79,4.8,7.75,157.5,15.8,3.4,0.15,7.933333333333334,1.0399999999999991,0.0,4.6,1.4,153.3,2013,March,FY13,0.0,-0.0428,0.1926,-0.0551,0.0926,54.27799987792969,-0.8675296119254439,15.220000267028809,0.3600006103515625,110.0199966430664,-0.9810133753015315,-3.7687810416131784,-0.986158553274934
2013-04-01,0,3.3,9.39,4.6,7.5,170.6,15.3,3.4,0.15,6.633333333333334,-1.3999999999999986,-0.25,4.8,15.2,157.5,2013,April,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,54.22800064086914,1.7353605101015024,15.100000381469727,-0.11999988555908203,102.37000274658203,-11.406317574281777,-1.7324628971788436,-0.9990103602899615
2013-05-01,0,1.0,9.39,4.6,7.5,173.7,15.3,3.4,0.15,6.5,-1.3999999999999986,0.0,4.8,3.3,170.6,2013,May,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,56.37799835205078,4.678964245058559,16.989999771118164,1.8899993896484375,100.38999938964844,-9.867119891163645,5.144876659674291,-0.7288378418220611
2013-06-01,0,-1.0,9.39,4.6,7.5,165.7,15.3,3.4,0.15,1.1,-1.3999999999999986,0.0,4.8,1.0,173.7,2013,June,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,59.5260009765625,9.668744446065581,17.950000762939453,0.9600009918212891,102.16000366210938,-7.144149446265569,2.8094851098938944,-0.4893670738446687
2013-07-01,0,3.2,9.64,5.2,7.5,160.3,15.0,3.4,0.15,1.0666666666666669,0.25,0.0,4.6,-1.0,165.7,2013,July,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,60.80799865722656,12.133949138073842,18.770000457763672,0.8199996948242188,107.69999694824219,5.206597693324877,-3.17358924006077,-0.35478422704934953
2013-08-01,0,4.4,9.64,5.2,7.5,155.9,15.0,3.4,0.15,2.2,0.25,0.0,4.6,3.2,160.3,2013,August,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,65.697998046875,16.531271005092705,27.809999465942383,9.039999008178711,114.01000213623047,13.567091173811118,-8.589286142534613,0.6692511370407613
2013-09-01,0,6.8,9.64,5.2,7.5,141.6,15.0,3.4,0.15,4.8,0.25,0.0,4.6,4.4,155.9,2013,September,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,62.90999984741211,5.684908805115274,26.649999618530273,-1.1599998474121094,114.01000213623047,11.59944993083062,-1.8297967726400688,0.43040752116552267
2013-10-01,0,1.9,10.09,4.8,7.5,146.5,14.8,3.4,0.15,4.366666666666666,0.4499999999999993,0.0,5.2,6.8,141.6,2013,October,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,61.31999969482422,0.8419961993549441,18.389999389648438,-8.260000228881836,108.83999633789062,1.0584952850057006,9.703063433363802,-0.36214669899485563
2013-11-01,0,3.7,10.09,4.8,7.75,146.5,14.8,3.4,0.15,4.133333333333333,0.4499999999999993,0.25,5.2,1.9,146.5,2013,November,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,62.391998291015625,-5.032116432985633,21.3799991607666,2.989999771118164,109.69000244140625,-3.789140964721893,12.871455793492315,-0.050565989933729905
2013-12-01,0,3.5,10.09,4.8,7.75,159.0,14.8,3.4,0.15,3.033333333333333,0.4499999999999993,0.0,5.2,3.7,146.5,2013,December,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,61.779998779296875,-1.7962185198792668,15.119999885559082,-6.2599992752075195,109.69000244140625,-3.789140964721893,9.915788444881258,-0.6217283643378043
2014-01-01,0,4.8,8.79,4.6,7.75,149.1,14.5,3.4,0.15,4.0,-1.3000000000000007,0.0,4.8,3.5,159.0,2014,January,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,62.310001373291016,1.6144841542625743,16.81999969482422,1.6999998092651367,106.4000015258789,-2.241818168053611,-3.3282253255434435,-0.4485286738999475
2014-02-01,0,5.2,8.79,4.6,8.0,125.3,14.5,3.4,0.15,4.5,-1.3000000000000007,0.25,4.8,4.8,149.1,2014,February,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,62.02000045776367,-0.5962268294675277,14.180000305175781,-2.6399993896484375,109.06999969482422,-0.5652317738922719,1.632909053635978,-0.6909888590864258
2014-03-01,0,2.9,8.79,4.6,8.0,143.5,14.5,3.4,0.15,4.3,-1.3000000000000007,0.0,4.8,5.2,125.3,2014,March,FY14,0.0,-0.0428,0.1926,-0.0551,0.0926,59.84000015258789,-3.140172653028761,21.6200008392334,7.440000534057617,107.76000213623047,-1.7595042959423268,6.348353352038383,-0.1567437570515206
2014-04-01,0,3.9,8.33,5.7,8.0,133.7,14.2,3.4,0.15,4.0,-0.4599999999999991,0.0,4.6,2.9,143.5,2014,April,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,60.417999267578125,-3.0364340619704944,30.59000015258789,8.969999313354492,108.06999969482422,1.5695471287555662,9.966333891842517,0.6468130293404027
2014-05-01,0,4.7,8.33,5.7,8.0,128.2,14.2,3.4,0.15,3.8333333333333335,-0.4599999999999991,0.0,4.6,3.9,133.7,2014,May,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,58.900001525878906,-5.030633519600702,16.34000015258789,-14.25,109.41000366210938,0.31173005247682184,15.182532445640252,-0.6595666279901425
2014-06-01,0,8.3,8.33,5.7,8.0,138.4,14.2,3.4,0.15,5.633333333333333,-0.4599999999999991,0.0,4.6,4.7,128.2,2014,June,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,60.03799819946289,0.33087908818536516,17.8700008392334,1.5300006866455078,109.41000366210938,1.5311817865342636,13.531068224633547,-0.470816143691578
2014-07-01,0,5.4,7.24,6.0,8.0,140.1,13.9,3.4,0.15,6.133333333333334,-1.09,0.0,5.7,8.3,138.4,2014,July,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,60.25,-0.27806162007134594,13.819999694824219,-4.05000114440918,106.0199966430664,-1.8969214930570577,15.305237400547611,-0.8101057273202887
2014-08-01,0,3.5,7.24,6.0,8.0,136.6,13.9,3.4,0.15,5.733333333333334,-1.09,0.0,5.7,5.4,140.1,2014,August,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,60.51300048828125,2.7385380655612357,13.069999694824219,-0.75,103.19000244140625,-5.685038856147317,10.019431431400605,-0.8618106681102538
2014-09-01,0,4.3,7.24,6.0,8.0,116.5,13.9,3.4,0.15,4.4,-1.09,0.0,5.7,3.5,136.6,2014,September,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,61.553001403808594,2.52340725837068,13.149999618530273,0.07999992370605469,94.66999816894531,-13.472264875052542,4.643718952569098,-0.8031820450303474
2014-10-01,0,0.3,5.52,6.2,8.0,119.4,13.6,3.4,0.15,2.7,-1.7200000000000006,0.0,6.0,4.3,116.5,2014,October,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,61.43299865722656,1.9634832485088127,13.300000190734863,0.15000057220458984,85.86000061035156,-19.01527699589235,7.782373509965268,-0.796192884102586
2014-11-01,0,7.4,5.52,6.2,8.0,123.6,13.6,3.4,0.15,4.0,-1.7200000000000006,0.0,6.0,0.3,119.4,2014,November,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,61.85300064086914,2.2144004458139355,12.899999618530273,-0.40000057220458984,70.1500015258789,-32.018606583799865,7.9692230611087655,-0.809857914459529
2014-12-01,0,4.0,5.52,6.2,8.0,127.9,13.6,3.4,0.15,3.9,-1.7200000000000006,0.0,6.0,7.4,123.6,2014,December,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,63.37799835205078,2.964919511023667,15.119999885559082,2.2200002670288086,57.33000183105469,-39.44227005397715,3.9913167740626365,-0.5422611987285659
2015-01-01,0,1.8,5.11,6.5,8.0,111.3,13.2,3.4,0.15,4.4,-0.4099999999999992,0.0,6.2,4.0,127.9,2015,January,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,62.01300048828125,0.9441209833999542,20.170000076293945,5.050000190734863,52.9900016784668,-38.28325028910127,5.848215422486902,-0.17393090554747576
2015-02-01,0,3.0,5.11,6.5,7.75,112.3,13.2,3.4,0.15,2.9333333333333336,-0.4099999999999992,-0.25,6.2,1.8,111.3,2015,February,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,61.75400161743164,-0.1600553286206896,19.56999969482422,-0.6000003814697266,52.9900016784668,-24.461866677339483,2.9848876007917857,-0.23863771892839875
2015-03-01,0,2.4,5.11,6.5,7.75,101.3,13.2,3.4,0.15,2.4,-0.4099999999999992,0.0,6.2,3.0,112.3,2015,March,FY15,0.0,-0.0428,0.1926,-0.0551,0.0926,62.50899887084961,-1.371137466939354,14.489999771118164,-5.079999923706055,52.9900016784668,-7.5702075945809355,2.514877996011311,-0.6398941521591897
2015-04-01,0,0.7,4.87,7.0,7.5,98.7,12.8,3.4,0.15,2.033333333333333,-0.2400000000000002,-0.25,6.5,2.4,101.3,2015,April,FY16,0.0,-0.0428,0.1926,-0.0551,0.0926,63.44200134277344,2.304356898134974,17.229999542236328,2.739999771118164,66.77999877929688,26.023771775862812,-7.122346295262005,-0.35682018011642114
2015-05-01,0,1.8,4.87,7.0,7.5,117.3,12.8,3.4,0.15,1.6333333333333335,-0.2400000000000002,0.0,6.5,0.7,98.7,2015,May,FY16,0.0,-0.0428,0.1926,-0.0551,0.0926,63.82500076293945,3.353627443186169,16.65999984741211,-0.5699996948242188,65.55999755859375,23.721448352463327,-4.646329250613068,-0.3870095535062345
2015-06-01,0,1.0,4.87,7.0,7.5,121.4,12.8,3.4,0.15,1.1666666666666667,-0.2400000000000002,0.0,6.5,1.8,117.3,2015,June,FY16,0.0,-0.0428,0.1926,-0.0551,0.0926,63.7239990234375,1.9437203835214412,16.93000030517578,0.2700004577636719,63.59000015258789,20.003770783854403,-1.4427040395713076,-0.36871010129189236
