,Baseline,Stress,Recovery
2026-03-01,0.031811759664058574,0.031811759664058574,0.031811759664058574
2026-04-01,0.031811759664058574,0.031811759664058574,0.031811759664058574
2026-05-01,0.031811759664058574,0.031811759664058574,0.03177741103672976
2026-06-01,0.031811759664058574,0.031811759664058574,0.01700879108248051
2026-07-01,0.031811759664058574,0.031811759664058574,0.01716876546540202
2026-08-01,0.031811759664058574,0.031811759664058574,0.01716876546540202
2026-09-01,0.031811759664058574,0.019635835620015345,0.01716876546540202
2026-10-01,0.031811759664058574,0.019635835620015345,0.01716876546540202
2026-11-01,0.031811759664058574,0.019635835620015345,0.01716876546540202
2026-12-01,0.031811759664058574,0.019635835620015345,0.01716876546540202
